stationID,Longitude,Latitude,Year,Month,Dekad,Rainfall
9637046,37.67,-6.9,2020,1,1,0.5
9637746,37.63,-6.92,1981,1,1,33.4
9637746,37.63,-6.92,1982,1,1,24
9637746,37.63,-6.92,1983,1,1,59.2
9637746,37.63,-6.92,1984,1,1,12
9637746,37.63,-6.92,1985,1,1,14.5
9637746,37.63,-6.92,1986,1,1,22.7
9637746,37.63,-6.92,1987,1,1,12.4
9637746,37.63,-6.92,1988,1,1,0
9637746,37.63,-6.92,1989,1,1,55.5
9637746,37.63,-6.92,1990,1,1,5.1
9637746,37.63,-6.92,1991,1,1,12
9637746,37.63,-6.92,1992,1,1,8.2
9637746,37.63,-6.92,1993,1,1,23.4
9637746,37.63,-6.92,1994,1,1,23.3
9637746,37.63,-6.92,1995,1,1,24.4
9637746,37.63,-6.92,1996,1,1,8.1
9637746,37.63,-6.92,1997,1,1,0
9637746,37.63,-6.92,1998,1,1,94.2
9637746,37.63,-6.92,1999,1,1,32
9637746,37.63,-6.92,2000,1,1,17
9637746,37.63,-6.92,2001,1,1,0
9637746,37.63,-6.92,2002,1,1,6
9637746,37.63,-6.92,2003,1,1,32
9637746,37.63,-6.92,2004,1,1,163
9637746,37.63,-6.92,2005,1,1,0
9637746,37.63,-6.92,2006,1,1,0
9637746,37.63,-6.92,2007,1,1,12
9637746,37.63,-6.92,2008,1,1,8
9637746,37.63,-6.92,2009,1,1,0
9637746,37.63,-6.92,2010,1,1,84
9637746,37.63,-6.92,2011,1,1,58
9637746,37.63,-6.92,2012,1,1,0
9637746,37.63,-6.92,2013,1,1,11
9637746,37.63,-6.92,2014,1,1,0
9637746,37.63,-6.92,2015,1,1,32
9637746,37.63,-6.92,2016,1,1,41
9637746,37.63,-6.92,2017,1,1,0
9637746,37.63,-6.92,2018,1,1,4
9637746,37.63,-6.92,2019,1,1,17
9637045,37.63,-6.95,1981,1,1,49.5
9637045,37.63,-6.95,1982,1,1,18.5
9637045,37.63,-6.95,1983,1,1,108
9637045,37.63,-6.95,1984,1,1,39
9637045,37.63,-6.95,1985,1,1,137
9637045,37.63,-6.95,1986,1,1,41
9637045,37.63,-6.95,1987,1,1,90.5
9637045,37.63,-6.95,1988,1,1,44.5
9637045,37.63,-6.95,1989,1,1,183.5
