Stations,1KA102,1KA104,1KA112,1KA107,1KA113,1KA100,1KA103,1KA108,1KA111,1KA106,1KA115,1KA110,1KA109,1KA114,1KA105,9535005,9535006,9536004,9536017,9635012,9636013,9636020,9637045,9637047,9637048,9637052,9637043,9737024,9737026,9738016,9639030,9635002,9637033,9735014,9638028,9737030,9637002,9839005,9836002,9637077,9539016
198606,0,2.3,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,50,30.7,0,6.3,2.5,13.9,16.6,0,13.3,0,2.8,0,20.6,5.5,5.6,0,0,11.4,45.5
198607,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,0,0,0.3,0.5,1.5,3.5,0,1.7,0,1.9,0,1,6.1,0,6.2,0,2.3,17
198608,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,24.5,0,-99,-99,132.5,0,8.2,3.3,25,54,20.6,10.5,32.6,0,26,0,18.5,12.9,23.7,0,0,6.9,50.1
198609,0,0,0,0,-99,-99,-99,-99,0,0,-99,14.8,-99,-99,-99,-99,-99,0,0,0,-99,-99,13,0,0,0,0,14,15.5,6.7,46,0,0.9,0,15.5,2.2,0.9,0,0,1.2,37.8
198610,0,2.1,0,11.8,-99,-99,-99,-99,3,18.7,-99,51.1,-99,-99,-99,-99,-99,8.4,17.5,0,-99,-99,115.5,77,29.8,37.1,5,278.4,197.2,38,109,0,5.5,1.2,59.3,68.2,4.1,63.7,34,37.6,41
198611,9.5,42,6.4,30.7,-99,-99,-99,-99,2.2,29.7,-99,72.3,-99,-99,-99,-99,-99,70.9,40.8,0,-99,-99,530,95.6,68.8,133.4,82.5,474.1,240.5,248.5,242.7,1,198.1,26.6,154,137.4,124.8,151.1,182.1,175.7,169.1
198612,230.3,236,116.5,230.5,-99,-99,-99,-99,294,422.2,-99,408.7,-99,-99,-99,-99,-99,164.5,126.5,221.9,-99,-99,332,258.2,35.5,140.7,321,655.5,316.3,209.6,46.7,157.8,221.2,234,43.4,192,229.8,187.7,364.1,156.2,122
198701,226.5,290.3,138.9,156.5,-99,-99,-99,-99,251.6,212.6,-99,142,-99,-99,-99,-99,-99,181.2,238.4,172.9,-99,-99,145,206.4,38.3,38.5,387,326.8,358.4,65.8,21.1,330.8,165.2,119.8,50.2,266.6,215.1,116.5,421.9,108.7,37.2
198702,129.5,56.9,223.1,217.7,-99,-99,-99,-99,12.6,251.4,-99,102,-99,-99,-99,-99,-99,54.6,37.2,76.1,-99,-99,97,167.5,6.4,0,140.5,145.8,42.4,48.8,13.9,84.6,221.6,94.4,38.3,113.7,216.2,77.4,388,74.9,2.2
198703,125.8,243.2,94.1,90.8,-99,-99,-99,-99,141.2,108.4,-99,53,-99,-99,-99,-99,-99,129.4,87.7,89.6,-99,-99,118.5,179.6,6.3,92.6,184.5,215.3,165.1,184,77.9,126.9,122.1,128.6,87.7,256.5,55.9,63,619.6,65.7,19
198704,91.7,48.1,93.5,60.9,-99,-99,-99,-99,73.4,115.8,-99,37.7,-99,-99,-99,-99,-99,71.9,113.3,70.1,-99,-99,302,141.7,64.5,78.4,152,283.2,316.5,142.7,160.9,102.7,133.1,63.6,159.5,297.7,140.1,49,310.3,108.2,171.8
198705,0,0,1,4.8,-99,-99,-99,-99,27.9,1.2,-99,44.8,-99,-99,-99,-99,-99,8.9,12.7,1.8,-99,-99,519.5,108.3,75.9,92.5,182,218.8,224.2,166.4,246.5,5.5,83.8,3.6,143.9,196.1,68.9,82,73.6,132.7,710.4
198706,0,0,0,0,-99,-99,-99,-99,0,0,-99,1.6,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,0,0,0,0,0,0,0,0.8,0,5,0,1,0,0,0,0,0,25.6
198707,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,100,0,0,0,9,108.3,24.3,11,16.4,0,48.4,0,5.1,50.3,14.1,0,29.8,4,42.3
198708,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,170.5,17.1,3.2,0.3,37,111.9,43.1,44,73.6,0.2,21.2,0,57.6,17.1,12.5,0,0,8.5,193.9
198709,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,9.5,0,0,0,2,39.8,7.7,0,2.8,0,2,0,0.2,1.5,0,0,2.7,0,39.1
198710,0,0,0,3.7,-99,-99,-99,-99,3.3,13.7,-99,0,-99,-99,-99,-99,-99,0,0,0,-99,-99,122.5,63.5,21.4,6,21,263.6,139.5,8,40.7,0,68.6,1.1,9,17.9,61.7,16,64.6,43.8,72.1
198711,88.3,40.7,19.8,70.1,-99,-99,-99,-99,36.4,79.7,-99,0,-99,-99,-99,-99,-99,27.5,15.8,51.8,-99,-99,180,26.4,31.1,12,34.5,503.3,166.6,28.5,48.1,73.1,64.7,89.1,10.6,129.5,65.2,78.4,159.1,36,57.9
198712,56.8,19,7.1,52.6,-99,-99,-99,-99,58.6,7.8,-99,0,-99,-99,-99,-99,-99,37.9,18.4,9,-99,-99,48,10.5,0,49,31,197.5,63,106.2,22.2,18.8,59.2,33.9,101,70.8,26.3,166.8,107.6,28.9,72.8
198801,103.5,131.9,182.6,206.3,-99,-99,-99,-99,96.6,130.8,-99,-99,-99,-99,-99,-99,-99,147.1,146.3,162.6,137.4,-99,143,92.3,19.3,100,171.5,361,128.4,51.7,183.3,142.4,220.8,130.2,77.5,140,198,77,201.4,93.7,74.6
198802,157.5,93.6,36.8,49.8,-99,-99,-99,-99,24.5,126.1,-99,-99,-99,-99,-99,-99,-99,28.8,15.1,51.9,4.4,-99,69,10.5,14.2,87.5,72.5,218,156.2,63.2,13.2,73.8,71.2,64.2,18.3,102.4,25.2,94,243.2,33.7,14.2
198803,194.8,330.9,263.1,245.2,-99,-99,-99,-99,44.6,270.6,-99,-99,-99,-99,-99,-99,-99,252.8,222.1,232,100.6,-99,384,127.5,0,66.5,147.5,126.1,98.9,143,105.2,196.2,119.2,282.6,121.9,334.9,213.3,61.2,457.6,191.9,36.1
198804,7.5,83.7,16.6,76.4,-99,-99,-99,-99,23.9,7.4,-99,-99,-99,-99,-99,-99,-99,6.8,23.4,2.3,5,-99,377.5,122.3,105.5,78.7,123,188.1,291.9,244.4,245.7,5.5,148.4,9.6,204.3,229.2,158.6,74,194.4,87.1,255.7
198805,0,0,3,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,97,21.7,5.1,18.5,50.5,152.5,83.5,33,15.3,0,36.4,0,43.4,100.4,93.9,0,129.8,12.7,163.7
198806,0,3.5,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,385.5,28.9,83.6,16.5,28.5,149.8,72.5,73.5,78.5,0.6,88.5,0,63.6,58,29.2,55,25.2,44.8,247.3
198807,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,9.5,0,0,0,0.5,56.3,7.2,0,9.3,0,1.9,0,9.4,0.4,7.7,2,0,0,33.5
198808,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,148,10.2,6.1,0,5,114.1,-99,11,48.2,0,13.5,0,6.2,19.4,30.1,19,52.1,17.6,47.4
198809,0,0,0,4.7,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,244,27.5,0,44.8,10.5,159.6,81.8,24.6,32.7,0,21.5,0,26.4,11.4,12.3,5,4.3,33.4,90.2
198810,0.9,0,0,11.3,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,123,27.9,27.3,26.9,28.5,251.1,72.1,6,8.8,0,10.1,4.1,7.2,18.3,12.4,9,24.5,27.5,81.6
